i,t_sec,cmd,ok_full,Xc_cm,Z_cm,disp_px,cx_L,cx_R
594,114.42,SEARCHING,0,,,,,
595,114.614,SEARCHING,0,,,,,
596,114.8,SEARCHING,0,,,,,
597,114.988,SEARCHING,0,,,,,
598,115.177,SEARCHING,0,,,,,
599,115.36,SEARCHING,0,,,,,
600,115.549,SEARCHING,0,,,,,
601,115.736,SEARCHING,0,,,,,
602,115.92,SEARCHING,0,,,,,
603,116.116,SEARCHING,0,,,,,
604,116.304,SEARCHING,0,,,,,
605,116.488,SEARCHING,0,,,,,
606,116.674,SEARCHING,0,,,,,
607,116.86,SEARCHING,0,,,,,
608,117.051,SEARCHING,0,,,,,
609,117.236,SEARCHING,0,,,,,
610,117.419,SEARCHING,0,,,,,
611,117.606,SEARCHING,0,,,,,
612,117.789,SEARCHING,0,,,,,
613,117.972,SEARCHING,0,,,,,
614,118.162,SEARCHING,0,,,,,
615,118.362,SEARCHING,0,,,,,
616,118.571,SEARCHING,0,,,,,
617,118.756,SEARCHING,0,,,,,
618,118.94,SEARCHING,0,,,,,
619,119.131,SEARCHING,0,,,,,
620,119.317,SEARCHING,0,,,,,
621,119.513,SEARCHING,0,,,,,
622,119.7,SEARCHING,0,,,,,
623,119.883,SEARCHING,0,,,,,
624,120.078,SEARCHING,0,,,,,
625,120.267,SEARCHING,0,,,,,
626,120.453,SEARCHING,0,,,,,
627,120.641,SEARCHING,0,,,,,
628,120.836,SEARCHING,0,,,,,
629,121.032,SEARCHING,0,,,,,
630,121.215,SEARCHING,0,,,,,
631,121.401,SEARCHING,0,,,,,
632,121.586,SEARCHING,0,,,,,
633,121.77,SEARCHING,0,,,,,
634,121.955,SEARCHING,0,,,,,
635,122.15,SEARCHING,0,,,,,
636,122.336,SEARCHING,0,,,,,
637,122.521,SEARCHING,0,,,,,
638,122.708,SEARCHING,0,,,,,
639,122.889,SEARCHING,0,,,,,
640,123.08,SEARCHING,0,,,,,
641,123.263,SEARCHING,0,,,,,
642,123.501,SEARCHING,0,,,,,
643,123.688,SEARCHING,0,,,,,
644,123.873,SEARCHING,0,,,,,
645,124.065,SEARCHING,0,,,,,
646,124.248,SEARCHING,0,,,,,
647,124.434,SEARCHING,0,,,,,
648,124.622,SEARCHING,0,,,,,
649,124.804,SEARCHING,0,,,,,
650,124.998,SEARCHING,0,,,,,
651,125.181,SEARCHING,0,,,,,
652,125.363,SEARCHING,0,,,,,
653,125.548,SEARCHING,0,,,,,
654,125.736,SEARCHING,0,,,,,
655,125.922,SEARCHING,0,,,,,
656,126.123,SEARCHING,0,,,,,
657,126.309,SEARCHING,0,,,,,
658,126.495,SEARCHING,0,,,,,
659,126.679,SEARCHING,0,,,,,
660,126.864,SEARCHING,0,,,,,
661,127.06,SEARCHING,0,,,,,
662,127.245,SEARCHING,0,,,,,
